title,description,category,label
Used iPhone 12,Original phone with box charger available for inspection,phone,normal
Study table,Wooden desk pickup from Badda,furniture,normal
Dell Latitude 5420,Used carefully battery good meet and check,laptop,normal
Canon camera,EOS camera good condition inspect before buying,camera,normal
Bicycle for sale,Good commuter cycle pickup only,bicycle,normal
Samsung fridge,Working fridge moving house reason for sale,appliance,normal
Books bundle,University books used but clean,books,normal
PlayStation 5,Console with controller test before purchase,gaming,normal
Urgent iPhone pay first,Send advance now no inspection phone,phone,suspicious
Cheap MacBook today,Telegram me pay first delivery later,laptop,suspicious
Brand new camera half price,WhatsApp me outside platform only urgent advance,camera,suspicious
PS5 emergency sale,Send advance to reserve no meeting,gaming,suspicious
Samsung phone token money,Pay first inbox fast direct call only,phone,suspicious
NID card available,National id for sale contact outside platform,other,suspicious
Exam paper leaked,Pay advance telegram me,books,suspicious
Cheap laptop deposit,No inspection bkash first urgent,laptop,suspicious
